id,resource_state,name,elapsed_time,moving_time,start_date,start_date_local,distance,start_index,end_index,average_cadence,device_watts,average_watts,pr_rank,achievements,kom_rank,activity.id,activity.resource_state,athlete.id,athlete.resource_state,segment.id,segment.resource_state,segment.name,segment.activity_type,segment.distance,segment.average_grade,segment.maximum_grade,segment.elevation_high,segment.elevation_low,segment.start_latlng,segment.end_latlng,segment.elevation_profile,segment.climb_category,segment.city,segment.state,segment.country,segment.private,segment.hazardous,segment.starred,average_heartrate,max_heartrate
2947160249226139822,2,Descenso real Coll de Soller,496,496,2022-04-07T10:26:24Z,2022-04-07T12:26:24Z,4873.8,3035,3531,64.8,True,155.1,,"[{'type_id': 7, 'type': 'segment_effort_count_leader', 'rank': 1, 'effort_count': 21}]",,6945143672,1,1057751,1,14452623,2,Descenso real Coll de Soller,Ride,4873.8,-5.1,0.0,484.8,234.0,"[39.730475, 2.686211]","[39.716404, 2.690344]",,0,,,,False,False,False,,
2948917961996036188,2,Descenso real Coll de Soller,496,496,2022-04-12T09:30:48Z,2022-04-12T11:30:48Z,4873.8,1768,2264,62.8,True,122.4,,"[{'type_id': 7, 'type': 'segment_effort_count_leader', 'rank': 1, 'effort_count': 21}]",,6969142646,1,1057751,1,14452623,2,Descenso real Coll de Soller,Ride,4873.8,-5.1,0.0,484.8,234.0,"[39.730475, 2.686211]","[39.716404, 2.690344]",,0,,,,False,False,False,,
2960541445700495564,2,Descenso real Coll de Soller,496,496,2022-05-14T06:02:30Z,2022-05-14T08:02:30Z,4873.8,1992,2488,56.4,True,77.5,,"[{'type_id': 7, 'type': 'segment_effort_count_leader', 'rank': 1, 'effort_count': 21}]",,7140631579,1,1057751,1,14452623,2,Descenso real Coll de Soller,Ride,4873.8,-5.1,0.0,484.8,234.0,"[39.730475, 2.686211]","[39.716404, 2.690344]",,0,,,,False,False,False,,
2936976406588491296,2,Descenso real Coll de Soller,497,497,2022-03-10T10:37:40Z,2022-03-10T11:37:40Z,4873.8,2004,2501,58.3,True,121.2,2.0,"[{'type_id': 3, 'type': 'pr', 'rank': 2}, {'type_id': 7, 'type': 'segment_effort_count_leader', 'rank': 1, 'effort_count': 21}]",,6801929424,1,1057751,1,14452623,2,Descenso real Coll de Soller,Ride,4873.8,-5.1,0.0,484.8,234.0,"[39.730475, 2.686211]","[39.716404, 2.690344]",,0,,,,False,False,False,,
2938847914548270174,2,Descenso real Coll de Soller,497,497,2022-03-15T09:48:07Z,2022-03-15T10:48:07Z,4873.8,2824,3321,62.6,True,112.8,3.0,"[{'type_id': 3, 'type': 'pr', 'rank': 3}, {'type_id': 7, 'type': 'segment_effort_count_leader', 'rank': 1, 'effort_count': 21}]",,6828322838,1,1057751,1,14452623,2,Descenso real Coll de Soller,Ride,4873.8,-5.1,0.0,484.8,234.0,"[39.730475, 2.686211]","[39.716404, 2.690344]",,0,,,,False,False,False,,
2970671367459856288,2,Descenso real Coll de Soller,498,498,2022-06-11T05:18:01Z,2022-06-11T07:18:01Z,4873.8,2132,2630,50.7,True,66.6,,"[{'type_id': 7, 'type': 'segment_effort_count_leader', 'rank': 1, 'effort_count': 21}]",,7290238140,1,1057751,1,14452623,2,Descenso real Coll de Soller,Ride,4873.8,-5.1,0.0,484.8,234.0,"[39.730475, 2.686211]","[39.716404, 2.690344]",,0,,,,False,False,False,,
2967025485883995942,2,Descenso real Coll de Soller,500,500,2022-06-01T05:20:53Z,2022-06-01T07:20:53Z,4873.8,1911,2411,54.6,True,92.0,,"[{'type_id': 7, 'type': 'segment_effort_count_leader', 'rank': 1, 'effort_count': 21}]",,7236468386,1,1057751,1,14452623,2,Descenso real Coll de Soller,Ride,4873.8,-5.1,0.0,484.8,234.0,"[39.730475, 2.686211]","[39.716404, 2.690344]",,0,,,,False,False,False,,
2968432161829413206,2,Descenso real Coll de Soller,500,500,2022-06-05T05:52:24Z,2022-06-05T07:52:24Z,4873.8,2613,3113,49.3,True,70.5,,"[{'type_id': 7, 'type': 'segment_effort_count_leader', 'rank': 1, 'effort_count': 21}]",,7257152612,1,1057751,1,14452623,2,Descenso real Coll de Soller,Ride,4873.8,-5.1,0.0,484.8,234.0,"[39.730475, 2.686211]","[39.716404, 2.690344]",,0,,,,False,False,False,,
2976803222812664070,2,Descenso real Coll de Soller,500,500,2022-06-28T05:06:46Z,2022-06-28T07:06:46Z,4873.8,2052,2552,53.0,True,74.6,,"[{'type_id': 7, 'type': 'segment_effort_count_leader', 'rank': 1, 'effort_count': 21}]",,7380802056,1,1057751,1,14452623,2,Descenso real Coll de Soller,Ride,4873.8,-5.1,0.0,484.8,234.0,"[39.730475, 2.686211]","[39.716404, 2.690344]",,0,,,,False,False,False,,
2930807567068366026,2,Descenso real Coll de Soller,501,501,2022-02-21T10:19:39Z,2022-02-21T11:19:39Z,4873.8,1933,2434,52.9,True,119.4,1.0,"[{'type_id': 3, 'type': 'pr', 'rank': 1}, {'type_id': 7, 'type': 'segment_effort_count_leader', 'rank': 1, 'effort_count': 21}]",,6715559598,1,1057751,1,14452623,2,Descenso real Coll de Soller,Ride,4873.8,-5.1,0.0,484.8,234.0,"[39.730475, 2.686211]","[39.716404, 2.690344]",,0,,,,False,False,False,,
